ruta,tipo,bytes,sha256
src/main/res/drawable/preview_ic_more.xml,drawable,458,dea16a9e7ec067d7f30d7739613da10ce199bfc0b88ac9538a4ed60ef962d4c8
src/main/res/drawable/preview_ic_move.xml,drawable,465,b134d27b3a33a8bc5da036afdbab58acf9c04a9132ae38b0240ca2c03149b23f
src/main/res/drawable/preview_ic_music.xml,drawable,315,091ca907c4e54655375c9769eb8288b0d727e009f8c9db5f7afd0bb322e8693f
src/main/res/drawable/preview_ic_palette.xml,drawable,792,064b7d6e0246ad2c287d7208562d0ebf8f8fe6c60aa7b1e78b01420cf8abad2f
src/main/res/drawable/preview_ic_person.xml,drawable,401,d1589be6f78ec7873ea4fd6082d71064ff35d720df622f8e2cb2fb3f0915c99a
src/main/res/drawable/preview_ic_pin.xml,drawable,326,e4b93cf3562d3db51a4a18bf5893fe8c693e66f503925d73c0e5dda256c1fb97
src/main/res/drawable/preview_ic_priority.xml,drawable,312,3974804699f267b19547dca4568c65e60d3b244e40ee94d5817c9bf93684c783
src/main/res/drawable/preview_ic_search.xml,drawable,442,e3f0eea09fe11227ed7bcfe0107611aafab2b8f0803f7fa6cd251c4dc5f0e432
src/main/res/drawable/preview_ic_settings.xml,drawable,1096,46fb22eb5db1e6c1f8fcc3d52f58da9aa81afe420482867f3cc4bdeb20e96503
src/main/res/drawable/preview_ic_star.xml,drawable,369,99d55c823ee01c33f3b6c4ce4edcd18045f01d5cf2c76592eb84b073bad50321
src/main/res/drawable/preview_ic_star_border.xml,drawable,481,ccc84c12acd02faa8f30b3654eeb370442963d2f2092156a2f70432eed6d2e54
src/main/res/drawable/preview_ic_video.xml,drawable,386,463d89bf41dc2003baaca76436dfb52576502dcac1562cae38cf58a7dcdbb0ac
src/main/res/drawable/preview_light_group.xml,drawable,255,162fa47cc4c4a6cc40a0095e0cb98519be84b4a30066ed6c4ab3402efecfddf8
src/main/res/drawable/preview_link_card.xml,drawable,217,a22cfa96a4eb42f4755b0d9c9f0c69d5e96927a72e9a350cdf3512b91997f11e
src/main/res/drawable/preview_media_audio.xml,drawable,279,48862bffdc8973006aa04a274c38d2d4761be76e138773d1ddf3cd9a23573b6d
src/main/res/drawable/preview_media_document.xml,drawable,179,b10ddfa5baab1666b0100788383d37d2525c08e2160ebfc3ea9bee095a0b0f2b
src/main/res/drawable/preview_media_photo.xml,drawable,308,f8e6189aede8d528066cbeac563a56a29854164e6152475fddc3c1e3426f3ea3
src/main/res/drawable/preview_media_video.xml,drawable,264,e96aae5b8de50dd314dfe0263ddc57ee0a8a849140b5a63dcf480a3e090e2388
src/main/res/drawable/preview_menu_popup.xml,drawable,276,51845d466858f7e253bd5245cf675b1dc7f5961e0dfe9d54a34a4a02bd095fe7
src/main/res/drawable/preview_menu_selected.xml,drawable,179,203c50d0d7fd818cdad4f8742086cad832a81b6c6c4208780dcc4712421b7357
src/main/res/drawable/preview_note_dark.xml,drawable,217,e44e8feb949e11d0f159cff77575902674766a7f5f57adee953380d9bd81831c
src/main/res/drawable/preview_note_light.xml,drawable,217,5424f9015c6cdb937c8480d1716d40dcdbe4fe7ed418d41dcc3539fb49622097
src/main/res/drawable/preview_palette_card_selected.xml,drawable,276,6cf46617675956af0e801615c7d46e042b13a647c6e16b82da0457f4e429a422
src/main/res/drawable/preview_pdf_page.xml,drawable,254,76383e82faf69c1e22e576d2f8872d24cd6b0e1a8f6737d33e31f466b81fb476
src/main/res/drawable/preview_screen_editor.xml,drawable,179,d67cee8c3d395443d31a072323ce48730806da579ec94ddaa599ae7769aae8c9
src/main/res/drawable/preview_screen_home.xml,drawable,179,261996bff49305b99221d409c1daf8f34e09b3a471fe07707260ae7dd1ca76cf
src/main/res/drawable/preview_search_dark.xml,drawable,276,29b988bc17c0ec6facf78521c8a6af069892fc0437ad2d8370bdc77a46185b0d
src/main/res/drawable/preview_settings_group.xml,drawable,255,a175a3605e614a2c6951daefa44d4b92629a90080bf8341f63eb0d9ccd368802
src/main/res/drawable/preview_settings_panel.xml,drawable,217,2082f1b07fb17140f6c55c5a98da35de184209b536950a256cc86c69b963b70d
src/main/res/drawable/preview_slider_progress.xml,drawable,218,9ca9dd9366a889aeeb451b3fd15875c06325d8f6ea5ebcd4b8fd98ef2fac30f1
