archivo,sha256,lineas,bytes,imports,declaraciones,funciones,clases_objetos_interfaces,referencias_recursos
app/src/main/java/com/example/mynotes/ui/components/ScrollPositionCapsule.kt,8e18edfb325b418ff761e18d3bad29b14c2e2014e00b369ca37b7d7a7048c205,272,11357,30,5,5,0,0
app/src/main/java/com/example/mynotes/ui/components/SettingsSectionPanel.kt,8f7337521be321d39c572afa9be295b43450d11897a2dbc09bf7f718f62b14d5,46,2183,17,1,1,0,0
app/src/main/java/com/example/mynotes/ui/components/StyledSettingsSlider.kt,5f322821526286538d40d528b5805436e71f7a231291b1a72c24c505914067e3,281,14273,23,2,2,0,0
app/src/main/java/com/example/mynotes/ui/motion/AppMotion.kt,d00156b94c88b5c5e083997f1842d42a9a2063de69c90a9c000d9702025c02b7,342,22229,40,9,8,1,0
app/src/main/java/com/example/mynotes/ui/sound/UiHapticPlayer.kt,66e3744c2bf2cfa7731bd414b9c124994343be006c19ca439962d3d3065cf018,215,10702,8,15,12,3,0
app/src/main/java/com/example/mynotes/ui/sound/UiSoundPlayer.kt,d1d18c785aafae6474fb6a96e2e462fff3a0f3fca0fac5b4778f167e9d7d2b1b,402,24314,6,24,19,5,156
app/src/main/java/com/example/mynotes/ui/theme/AppFonts.kt,3b9a9b91cd033607fd9ba69a16e099cdc244233374c1471e1d9bed151359c724,51,2518,5,1,1,0,13
app/src/main/java/com/example/mynotes/ui/theme/Color.kt,985d4a3a3467e6730a5be7a57dc5cfa455d319b2b4a632be69221b5e34418c14,11,284,1,0,0,0,0
app/src/main/java/com/example/mynotes/ui/theme/DevelopmentInfoScreen.kt,7527be1880ad5b104da099e58b86e03824344db995b295eabef0558c7d1a42e5,312,19016,54,5,5,0,64
app/src/main/java/com/example/mynotes/ui/theme/DrawingScreen.kt,313cea20b67577d8000f15174ff73905b26c167106bd2efbd2f150089739eded,843,35465,82,9,7,2,27
app/src/main/java/com/example/mynotes/ui/theme/NoteColors.kt,cf9df405cc74513f684ec07b1ce73c4d15079ac16ba53969e34bfc2e651a4b17,328,12434,4,18,17,1,0
app/src/main/java/com/example/mynotes/ui/theme/NoteDetailScreen.kt,1e5c9c6df03155d89ffac32cead81c734acf989fbf9f8a86f63190dd130fb39a,708,37307,99,7,7,0,44
app/src/main/java/com/example/mynotes/ui/theme/NoteEditorScreen.kt,13f492397673d122e0d7ac83b25562ac32f935e8315b86b4cf041a6fd4f7e4f9,1068,52713,107,11,11,0,41
app/src/main/java/com/example/mynotes/ui/theme/NotesScreen.kt,e25669614fa7fee1f0df28f1f45e2a8a474370916e3ad07a5b6280c44a7eab0a,854,42499,101,7,4,3,22
app/src/main/java/com/example/mynotes/ui/theme/PaletteCatalog.kt,3eea86771742b0f1be840d1c839d3d93293b586a182b60a42fe2479530610acc,71,6397,4,4,2,2,46
app/src/main/java/com/example/mynotes/ui/theme/ReminderScreen.kt,8bac9372df3bfe0175f20ae7ad75b1fc275e86add4ea7174fd50af1c15c5d731,901,41090,87,11,10,1,38
app/src/main/java/com/example/mynotes/ui/theme/SettingsScreen.kt,f50e0fe495149fb5875e5c4ec05c29db320ce1cfdf6850185bb6eff0595baaa8,1816,106252,100,9,8,1,168
app/src/main/java/com/example/mynotes/ui/theme/SettingsSectionColors.kt,5ecc52a515728448c4813dee55972736a4bd13c563b8a3bcefabbc6009f17b57,17,862,2,2,1,1,0
